as_of,source,race,outcome,probability,url,is_seed
2026-09-12,polymarket,Georgia Senate 2026,Democrat,0.925,https://polymarket.com/event/georgia-senate-election-winner,false
2026-09-12,polymarket,Georgia Senate 2026,Republican,0.0715,https://polymarket.com/event/georgia-senate-election-winner,false
2026-09-12,polymarket,Michigan Senate 2026,Democrat,0.625,https://polymarket.com/event/michigan-senate-election-winner,false
2026-09-12,polymarket,Michigan Senate 2026,Republican,0.37,https://polymarket.com/event/michigan-senate-election-winner,false
2026-09-12,polymarket,North Carolina Senate 2026,Democrat,0.925,https://polymarket.com/event/north-carolina-senate-election-winner,false
2026-09-12,polymarket,North Carolina Senate 2026,Republican,0.085,https://polymarket.com/event/north-carolina-senate-election-winner,false
2026-09-12,polymarket,Maine Senate 2026,Democrat,0.925,https://polymarket.com/event/which-party-will-win-the-maine-state-senate-in-2026,false
2026-09-12,polymarket,Maine Senate 2026,Republican,0.085,https://polymarket.com/event/which-party-will-win-the-maine-state-senate-in-2026,false
2026-09-12,polymarket,New Hampshire Senate 2026,Democrat,0.835,https://polymarket.com/event/new-hampshire-senate-election-winner,false
2026-09-12,polymarket,New Hampshire Senate 2026,Republican,0.15,https://polymarket.com/event/new-hampshire-senate-election-winner,false
2026-09-12,polymarket,Ohio Senate 2026,Democrat,0.515,https://polymarket.com/event/ohio-senate-election-winner,false
2026-09-12,polymarket,Ohio Senate 2026,Republican,0.485,https://polymarket.com/event/ohio-senate-election-winner,false
2026-09-12,polymarket,Texas Senate 2026,Democrat,0.06,https://polymarket.com/event/which-party-will-win-the-texas-state-senate-in-2026,false
2026-09-12,polymarket,Texas Senate 2026,Republican,0.95,https://polymarket.com/event/which-party-will-win-the-texas-state-senate-in-2026,false
2026-09-12,polymarket,Iowa Senate 2026,Democrat,0.385,https://polymarket.com/event/iowa-senate-election-winner,false
2026-09-12,polymarket,Iowa Senate 2026,Republican,0.615,https://polymarket.com/event/iowa-senate-election-winner,false
2026-09-12,polymarket,senate-control-2026,Democrat,0.525,https://polymarket.com/event/which-party-will-win-the-senate-in-2026,false
2026-09-12,polymarket,senate-control-2026,Republican,0.485,https://polymarket.com/event/which-party-will-win-the-senate-in-2026,false
